[-t, /Users/jiangjunhao/Desktop/MLC-master/code/temp/BayesianClassifierChain_ESKDB/tmc2007/train.arff, -T, /Users/jiangjunhao/Desktop/MLC-master/code/temp/BayesianClassifierChain_ESKDB/tmc2007/test.arff, -K, 2, -S, SKDB_R, -I, 10, -L, 2, -E, 2]
Dataset : train
data size 	14305
Attribute size 	1503
class size 	2

Started learning
The 0th SKDB classifier has been built and smoothed
The 1th SKDB classifier has been built and smoothed

Started testing
testID:	Prob(0)	Prob(1)	Prediction	TrueClass
test example 158:	 0.895	 0.105	0	0
test example 159:	 0.682	 0.318	0	1
test example 160:	 0.997	 0.003	0	0
test example 161:	 0.908	 0.092	0	0
test example 162:	 0.519	 0.481	0	0
test example 163:	 0.805	 0.195	0	0
test example 164:	 0.218	 0.782	1	0
test example 165:	 0.991	 0.009	0	0
test example 166:	 0.97 	 0.03 	0	0
test example 167:	 0.559	 0.441	0	0
test example 168:	 0.977	 0.023	0	0
test example 169:	 0.991	 0.009	0	0
test example 170:	 0.995	 0.005	0	0
test example 171:	 0.948	 0.052	0	1
test example 172:	 0.982	 0.018	0	0
test example 173:	 0.932	 0.068	0	0
test example 174:	 0.9  	 0.1  	0	0
test example 175:	 0.916	 0.084	0	0
test example 176:	 0.96 	 0.04 	0	0
test example 177:	 0.942	 0.058	0	1
test example 178:	 0.015	 0.985	1	1
test example 179:	 0.912	 0.088	0	0
test example 180:	 0.621	 0.379	0	0
test example 181:	 0.11 	 0.89 	1	1
test example 182:	 0.998	 0.002	0	0
test example 183:	 0.997	 0.003	0	0
test example 184:	 0.995	 0.005	0	0
test example 185:	 0.983	 0.017	0	0
test example 186:	 0.894	 0.106	0	0
test example 187:	 0.989	 0.011	0	0
test example 188:	 0.71 	 0.29 	0	0
test example 189:	 0.628	 0.372	0	0
test example 190:	 0.371	 0.629	1	0
test example 191:	 0.96 	 0.04 	0	0
test example 192:	 0.97 	 0.03 	0	0
test example 193:	 0.995	 0.005	0	0
test example 194:	 0.995	 0.005	0	0
test example 195:	 0.996	 0.004	0	0
test example 196:	 0.813	 0.187	0	0
test example 197:	 0.794	 0.206	0	0
test example 198:	 0.96 	 0.04 	0	0
test example 199:	 0.948	 0.052	0	0
test example 200:	 0.971	 0.029	0	0
test example 201:	 0.993	 0.007	0	0
test example 202:	 0.015	 0.985	1	1
test example 203:	 0.996	 0.004	0	0
test example 204:	 0.976	 0.024	0	0
test example 205:	 0.993	 0.007	0	0
test example 206:	 0.983	 0.017	0	0
test example 207:	 0.258	 0.742	1	1
test example 208:	 0.993	 0.007	0	0
test example 209:	 0.922	 0.078	0	0
test example 210:	 0.993	 0.007	0	1
test example 211:	 0.812	 0.188	0	0
test example 212:	 0.95 	 0.05 	0	0
test example 213:	 0.967	 0.033	0	0
test example 214:	 0.946	 0.054	0	0
test example 215:	 0.835	 0.165	0	0
test example 216:	 0.96 	 0.04 	0	0
test example 217:	 0.983	 0.017	0	0
test example 218:	 0.997	 0.003	0	0
test example 219:	 0.371	 0.629	1	1
test example 220:	 0.989	 0.011	0	0
test example 221:	 0.822	 0.178	0	1
test example 222:	 0.968	 0.032	0	0
test example 223:	 0.908	 0.092	0	0
test example 224:	 0.543	 0.457	0	0
test example 225:	 0.993	 0.007	0	0
test example 226:	 0.989	 0.011	0	0
test example 227:	 0.82 	 0.18 	0	0
test example 228:	 0.983	 0.017	0	0
test example 229:	 0.976	 0.024	0	0
test example 230:	 0.292	 0.708	1	1
test example 231:	 0.991	 0.009	0	1
test example 232:	 0.985	 0.015	0	0
test example 233:	 0.484	 0.516	1	0
test example 234:	 0.993	 0.007	0	0
test example 235:	 0.997	 0.003	0	0
test example 236:	 0.97 	 0.03 	0	0
test example 237:	 0.979	 0.021	0	0
test example 238:	 0.989	 0.011	0	0
test example 239:	 0.968	 0.032	0	1
test example 240:	 0.93 	 0.07 	0	0
test example 241:	 0.99 	 0.01 	0	0
test example 242:	 0.988	 0.012	0	0
test example 243:	 0.988	 0.012	0	1
test example 244:	 0.949	 0.051	0	0
test example 245:	 0.998	 0.002	0	0
test example 246:	 0.981	 0.019	0	0
test example 247:	 0.991	 0.009	0	0
test example 248:	 0.994	 0.006	0	0
test example 249:	 0.781	 0.219	0	0
test example 250:	 0.996	 0.004	0	0
test example 251:	 0.993	 0.007	0	0
test example 252:	 0.516	 0.484	0	0
test example 253:	 0.979	 0.021	0	0
test example 254:	 0.98 	 0.02 	0	1
test example 255:	 0.264	 0.736	1	1
test example 256:	 0.635	 0.365	0	1
test example 257:	 0.66 	 0.34 	0	1
test example 258:	 0.097	 0.903	1	1
test example 259:	 0.969	 0.031	0	0
test example 260:	 0.986	 0.014	0	0
test example 261:	 0.917	 0.083	0	0
test example 262:	 0.992	 0.008	0	0
test example 263:	 0.902	 0.098	0	0
test example 264:	 0.995	 0.005	0	0
test example 265:	 0.991	 0.009	0	0
test example 266:	 0.983	 0.017	0	0
test example 267:	 0.992	 0.008	0	0
test example 268:	 0.998	 0.002	0	0
test example 269:	 0.993	 0.007	0	0
test example 270:	 0.956	 0.044	0	0
test example 271:	 0.99 	 0.01 	0	0
test example 272:	 0.969	 0.031	0	0
test example 273:	 0.997	 0.003	0	0
test example 274:	 0.997	 0.003	0	0
test example 275:	 0.907	 0.093	0	0
test example 276:	 0.285	 0.715	1	1
test example 277:	 0.991	 0.009	0	0
test example 278:	 0.995	 0.005	0	0
test example 279:	 0.987	 0.013	0	0
test example 280:	 0.947	 0.053	0	0
test example 281:	 0.988	 0.012	0	0
test example 282:	 0.994	 0.006	0	0
test example 283:	 0.995	 0.005	0	0
test example 284:	 0.972	 0.028	0	0
test example 285:	 0.633	 0.367	0	0
test example 286:	 0.968	 0.032	0	0
test example 287:	 0.886	 0.114	0	0
test example 288:	 0.815	 0.185	0	0
test example 289:	 0.991	 0.009	0	1
test example 290:	 0.996	 0.004	0	1
test example 291:	 0.985	 0.015	0	0
test example 292:	 0.455	 0.545	1	0
test example 293:	 0.986	 0.014	0	0
test example 294:	 0.962	 0.038	0	0
test example 295:	 0.903	 0.097	0	1
test example 296:	 0.902	 0.098	0	1
test example 297:	 0.991	 0.009	0	0
test example 298:	 0.987	 0.013	0	0
test example 299:	 0.992	 0.008	0	0
test example 300:	 0.917	 0.083	0	0
test example 301:	 0.991	 0.009	0	0
test example 302:	 0.998	 0.002	0	0
test example 303:	 0.98 	 0.02 	0	0
test example 304:	 0.993	 0.007	0	0
test example 305:	 0.678	 0.322	0	0
test example 306:	 0.997	 0.003	0	0
test example 307:	 0.998	 0.002	0	0
test example 308:	 0.098	 0.902	1	0
test example 309:	 0.996	 0.004	0	0
test example 310:	 0.216	 0.784	1	0
test example 311:	 0.215	 0.785	1	1
test example 312:	 0.997	 0.003	0	0
test example 313:	 0.994	 0.006	0	0
test example 314:	 0.984	 0.016	0	0
test example 315:	 0.988	 0.012	0	0
test example 316:	 0.903	 0.097	0	0
test example 317:	 0.999	 0.001	0	0
test example 318:	 0.997	 0.003	0	0
test example 319:	 0.928	 0.072	0	0
test example 320:	 0.759	 0.241	0	0
test example 321:	 0.723	 0.277	0	0
test example 322:	 0.113	 0.887	1	1
test example 323:	 0.991	 0.009	0	0
test example 324:	 0.993	 0.007	0	0
test example 325:	 0.987	 0.013	0	0
test example 326:	 0.999	 0.001	0	0
test example 327:	 0.995	 0.005	0	0
test example 328:	 0.982	 0.018	0	0
test example 329:	 0.269	 0.731	1	0
test example 330:	 0.675	 0.325	0	0
test example 331:	 0.995	 0.005	0	0
test example 332:	 0.989	 0.011	0	0
test example 333:	 0.303	 0.697	1	0
test example 334:	 0.852	 0.148	0	0
test example 335:	 0.082	 0.918	1	1
test example 336:	 0.431	 0.569	1	0
test example 337:	 0.976	 0.024	0	0
test example 338:	 0.987	 0.013	0	0
test example 339:	 0.151	 0.849	1	1
test example 340:	 0.882	 0.118	0	0
test example 341:	 0.973	 0.027	0	0
test example 342:	 0.998	 0.002	0	0
test example 343:	 0.991	 0.009	0	0
test example 344:	 0.993	 0.007	0	0
test example 345:	 0.934	 0.066	0	0
test example 346:	 0.337	 0.663	1	0
test example 347:	 0.993	 0.007	0	0
test example 348:	 0.997	 0.003	0	0
test example 349:	 0.833	 0.167	0	0
test example 350:	 0.997	 0.003	0	0
test example 351:	 0.736	 0.264	0	0
test example 352:	 0.991	 0.009	0	0
test example 353:	 0.932	 0.068	0	0
test example 354:	 0.99 	 0.01 	0	0
test example 355:	 0.991	 0.009	0	0
test example 356:	 0.982	 0.018	0	0
test example 357:	 0.89 	 0.11 	0	0
test example 358:	 0.992	 0.008	0	0
test example 359:	 0.999	 0.001	0	0
test example 360:	 0.244	 0.756	1	1
test example 361:	 0.972	 0.028	0	0
test example 362:	 0.974	 0.026	0	0
test example 363:	 0.996	 0.004	0	0
test example 364:	 0.609	 0.391	0	0
test example 365:	 0.985	 0.015	0	1
test example 366:	 0.993	 0.007	0	0
test example 367:	 0.808	 0.192	0	0
test example 368:	 0.995	 0.005	0	0
test example 369:	 0.99 	 0.01 	0	0
test example 370:	 0.993	 0.007	0	0
test example 371:	 0.997	 0.003	0	0
test example 372:	 0.997	 0.003	0	0
test example 373:	 0.149	 0.851	1	1
test example 374:	 0.846	 0.154	0	0
test example 375:	 0.994	 0.006	0	0
test example 376:	 0.998	 0.002	0	0
test example 377:	 0.454	 0.546	1	0
test example 378:	 0.999	 0.001	0	0
test example 379:	 0.99 	 0.01 	0	0
test example 380:	 0.997	 0.003	0	0
test example 381:	 0.706	 0.294	0	0
test example 382:	 0.556	 0.444	0	0
test example 383:	 0.996	 0.004	0	0
test example 384:	 0.997	 0.003	0	0
test example 385:	 0.999	 0.001	0	0
test example 386:	 0.988	 0.012	0	0
test example 387:	 0.993	 0.007	0	0
test example 388:	 0.755	 0.245	0	0
test example 389:	 1    	 0    	0	0
test example 390:	 0.997	 0.003	0	0
test example 391:	 0.983	 0.017	0	0
test example 392:	 0.991	 0.009	0	0
test example 393:	 0.993	 0.007	0	0
test example 394:	 0.987	 0.013	0	0
test example 395:	 0.983	 0.017	0	0
test example 396:	 0.952	 0.048	0	0
test example 397:	 0.977	 0.023	0	0
test example 398:	 0.996	 0.004	0	0
test example 399:	 0.927	 0.073	0	0
test example 400:	 0.779	 0.221	0	0
test example 401:	 0.929	 0.071	0	0
test example 402:	 0.954	 0.046	0	0
test example 403:	 0.827	 0.173	0	0
test example 404:	 0.928	 0.072	0	0
test example 405:	 0.986	 0.014	0	0
test example 406:	 0.99 	 0.01 	0	0
test example 407:	 0.992	 0.008	0	0
test example 408:	 0.818	 0.182	0	0
test example 409:	 0.289	 0.711	1	1
test example 410:	 0.973	 0.027	0	0
test example 411:	 0.98 	 0.02 	0	0
test example 412:	 0.928	 0.072	0	0
test example 413:	 0.98 	 0.02 	0	1
test example 414:	 0.996	 0.004	0	0
test example 415:	 0.294	 0.706	1	1
test example 416:	 0.984	 0.016	0	0
test example 417:	 0.993	 0.007	0	0
test example 418:	 0.926	 0.074	0	0
test example 419:	 0.991	 0.009	0	1
test example 420:	 0.995	 0.005	0	0
test example 421:	 0.989	 0.011	0	0
test example 422:	 0.994	 0.006	0	0
test example 423:	 0.983	 0.017	0	0
test example 424:	 0.996	 0.004	0	0
test example 425:	 0.998	 0.002	0	0
test example 426:	 0.793	 0.207	0	0
test example 427:	 0.986	 0.014	0	0
test example 428:	 0.913	 0.087	0	0
test example 429:	 0.995	 0.005	0	0
test example 430:	 0.842	 0.158	0	1
test example 431:	 1    	 0    	0	0
test example 432:	 0.995	 0.005	0	0
test example 433:	 0.989	 0.011	0	0
test example 434:	 0.246	 0.754	1	0
test example 435:	 0.508	 0.492	0	1
test example 436:	 0.866	 0.134	0	0
test example 437:	 0.771	 0.229	0	0
test example 438:	 0.992	 0.008	0	0
test example 439:	 0.972	 0.028	0	0
test example 440:	 0.987	 0.013	0	0
test example 441:	 1    	 0    	0	0
test example 442:	 0.984	 0.016	0	0
test example 443:	 0.983	 0.017	0	1
test example 444:	 0.957	 0.043	0	0
test example 445:	 0.983	 0.017	0	1
test example 446:	 0.939	 0.061	0	0
test example 447:	 0.979	 0.021	0	0
test example 448:	 0.369	 0.631	1	0
test example 449:	 0.993	 0.007	0	0
test example 450:	 0.996	 0.004	0	0
test example 451:	 0.991	 0.009	0	0
test example 452:	 0.994	 0.006	0	0
test example 453:	 0.516	 0.484	0	0
test example 454:	 0.989	 0.011	0	0
test example 455:	 0.226	 0.774	1	1
test example 456:	 0.863	 0.137	0	0
test example 457:	 0.804	 0.196	0	0
test example 458:	 0.969	 0.031	0	0
test example 459:	 0.99 	 0.01 	0	0
test example 460:	 0.984	 0.016	0	0
test example 461:	 0.997	 0.003	0	0
test example 462:	 0.976	 0.024	0	0
test example 463:	 0.952	 0.048	0	0
test example 464:	 0.992	 0.008	0	0
test example 465:	 0.247	 0.753	1	0
test example 466:	 0.453	 0.547	1	0
test example 467:	 0.99 	 0.01 	0	0
test example 468:	 0.981	 0.019	0	0
test example 469:	 0.996	 0.004	0	0
test example 470:	 0.994	 0.006	0	0
test example 471:	 0.996	 0.004	0	0
test example 472:	 0.997	 0.003	0	0
test example 473:	 0.911	 0.089	0	0
test example 474:	 0.985	 0.015	0	0
test example 475:	 0.712	 0.288	0	1
test example 476:	 0.855	 0.145	0	0
test example 477:	 0.992	 0.008	0	0
test example 478:	 0.888	 0.112	0	0
test example 479:	 0.995	 0.005	0	0
test example 480:	 0.937	 0.063	0	0
test example 481:	 0.997	 0.003	0	0
test example 482:	 0.993	 0.007	0	0
test example 483:	 0.988	 0.012	0	0
test example 484:	 0.985	 0.015	0	0
test example 485:	 0.993	 0.007	0	0
test example 486:	 0.983	 0.017	0	0
test example 487:	 0.823	 0.177	0	0
test example 488:	 0.993	 0.007	0	0
test example 489:	 0.993	 0.007	0	0
test example 490:	 0.987	 0.013	0	0
test example 491:	 0.3  	 0.7  	1	1
test example 492:	 0.34 	 0.66 	1	0
test example 493:	 0.977	 0.023	0	1
test example 494:	 0.708	 0.292	0	0
test example 495:	 0.911	 0.089	0	0
test example 496:	 0.541	 0.459	0	0
test example 497:	 0.81 	 0.19 	0	0
test example 498:	 0.982	 0.018	0	0
test example 499:	 0.995	 0.005	0	0
test example 500:	 0.727	 0.273	0	0
test example 501:	 0.947	 0.053	0	0
test example 502:	 0.679	 0.321	0	0
test example 503:	 0.944	 0.056	0	0
test example 504:	 0.993	 0.007	0	0
test example 505:	 0.996	 0.004	0	0
test example 506:	 0.971	 0.029	0	0
test example 507:	 0.471	 0.529	1	1
test example 508:	 0.983	 0.017	0	0
test example 509:	 0.843	 0.157	0	0
test example 510:	 0.66 	 0.34 	0	0
test example 511:	 0.986	 0.014	0	0
test example 512:	 0.983	 0.017	0	0
test example 513:	 0.862	 0.138	0	0
test example 514:	 0.902	 0.098	0	1
test example 515:	 0.996	 0.004	0	0
test example 516:	 0.975	 0.025	0	0
test example 517:	 0.699	 0.301	0	1
test example 518:	 0.98 	 0.02 	0	0
test example 519:	 0.218	 0.782	1	0
test example 520:	 0.948	 0.052	0	0
test example 521:	 0.993	 0.007	0	0
test example 522:	 0.928	 0.072	0	0
test example 523:	 0.993	 0.007	0	0
test example 524:	 0.973	 0.027	0	0
test example 525:	 0.867	 0.133	0	0
test example 526:	 0.066	 0.934	1	0
test example 527:	 0.893	 0.107	0	0
test example 528:	 0.911	 0.089	0	0
test example 529:	 0.997	 0.003	0	0
test example 530:	 0.981	 0.019	0	0
test example 531:	 0.814	 0.186	0	0
test example 532:	 0.318	 0.682	1	1
test example 533:	 1    	 0    	0	0
test example 534:	 0.985	 0.015	0	0
test example 535:	 0.622	 0.378	0	0
test example 536:	 0.135	 0.865	1	0
test example 537:	 0.98 	 0.02 	0	0
test example 538:	 0.038	 0.962	1	1
test example 539:	 0.172	 0.828	1	1
test example 540:	 0.99 	 0.01 	0	0
test example 541:	 0.979	 0.021	0	0
test example 542:	 0.873	 0.127	0	0
test example 543:	 0.908	 0.092	0	0
test example 544:	 0.982	 0.018	0	0
test example 545:	 0.806	 0.194	0	0
test example 546:	 0.994	 0.006	0	0
test example 547:	 0.657	 0.343	0	0
test example 548:	 0.992	 0.008	0	0
test example 549:	 0.977	 0.023	0	0
test example 550:	 0.986	 0.014	0	0
test example 551:	 0.958	 0.042	0	0
test example 552:	 0.802	 0.198	0	0
test example 553:	 0.997	 0.003	0	0
test example 554:	 0.993	 0.007	0	0
test example 555:	 0.983	 0.017	0	1
test example 556:	 0.736	 0.264	0	0
test example 557:	 0.997	 0.003	0	0
test example 558:	 0.986	 0.014	0	0
test example 559:	 0.998	 0.002	0	0
test example 560:	 0.991	 0.009	0	1
test example 561:	 0.292	 0.708	1	0
test example 562:	 0.973	 0.027	0	0
test example 563:	 1    	 0    	0	0
test example 564:	 0.152	 0.848	1	1
test example 565:	 0.991	 0.009	0	0
test example 566:	 0.995	 0.005	0	0
test example 567:	 0.897	 0.103	0	1
test example 568:	 0.993	 0.007	0	0
test example 569:	 0.978	 0.022	0	1
test example 570:	 0.989	 0.011	0	0
test example 571:	 0.921	 0.079	0	0
test example 572:	 0.991	 0.009	0	0
test example 573:	 0.495	 0.505	1	0
test example 574:	 0.989	 0.011	0	0
test example 575:	 0.986	 0.014	0	0
test example 576:	 0.858	 0.142	0	0
test example 577:	 0.979	 0.021	0	0
test example 578:	 0.999	 0.001	0	0
test example 579:	 0.919	 0.081	0	0
test example 580:	 0.995	 0.005	0	0
test example 581:	 0.994	 0.006	0	0
test example 582:	 0.985	 0.015	0	0
test example 583:	 0.994	 0.006	0	0
test example 584:	 0.937	 0.063	0	0
test example 585:	 0.986	 0.014	0	0
test example 586:	 0.964	 0.036	0	0
test example 587:	 0.997	 0.003	0	0
test example 588:	 0.07 	 0.93 	1	1
test example 589:	 0.991	 0.009	0	0
test example 590:	 0.976	 0.024	0	0
test example 591:	 0.993	 0.007	0	0
test example 592:	 0.994	 0.006	0	0
test example 593:	 1    	 0    	0	0
test example 594:	 0.888	 0.112	0	0
test example 595:	 0.997	 0.003	0	0
test example 596:	 0.997	 0.003	0	0
test example 597:	 0.992	 0.008	0	0
test example 598:	 0.994	 0.006	0	0
test example 599:	 0.999	 0.001	0	0
test example 600:	 0.776	 0.224	0	1
test example 601:	 0.515	 0.485	0	1
test example 602:	 0.993	 0.007	0	0
test example 603:	 0.999	 0.001	0	0
test example 604:	 0.998	 0.002	0	0
test example 605:	 0.919	 0.081	0	1
test example 606:	 0.555	 0.445	0	1
test example 607:	 0.962	 0.038	0	0
test example 608:	 0.833	 0.167	0	0
test example 609:	 0.88 	 0.12 	0	0
test example 610:	 0.74 	 0.26 	0	0
test example 611:	 0.993	 0.007	0	0
test example 612:	 0.887	 0.113	0	0
test example 613:	 0.434	 0.566	1	0
test example 614:	 0.542	 0.458	0	1
test example 615:	 0.995	 0.005	0	0
test example 616:	 0.999	 0.001	0	0
test example 617:	 0.985	 0.015	0	0
test example 618:	 0.998	 0.002	0	0
test example 619:	 0.979	 0.021	0	0
test example 620:	 0.992	 0.008	0	0
test example 621:	 0.995	 0.005	0	0
test example 622:	 0.981	 0.019	0	0
test example 623:	 0.991	 0.009	0	0
test example 624:	 0.993	 0.007	0	0
test example 625:	 0.927	 0.073	0	0
test example 626:	 0.883	 0.117	0	0
test example 627:	 0.966	 0.034	0	0
test example 628:	 0.606	 0.394	0	0
test example 629:	 0.317	 0.683	1	1
test example 630:	 0.915	 0.085	0	0
test example 631:	 0.96 	 0.04 	0	0
test example 632:	 0.979	 0.021	0	0
test example 633:	 0.997	 0.003	0	0
test example 634:	 0.841	 0.159	0	1
test example 635:	 0.862	 0.138	0	1
test example 636:	 0.875	 0.125	0	0
test example 637:	 0.993	 0.007	0	0
test example 638:	 0.34 	 0.66 	1	0
test example 639:	 0.985	 0.015	0	0
test example 640:	 0.908	 0.092	0	0
test example 641:	 0.989	 0.011	0	0
test example 642:	 0.976	 0.024	0	0
test example 643:	 0.978	 0.022	0	0
test example 644:	 0.998	 0.002	0	0
test example 645:	 0.996	 0.004	0	0
test example 646:	 0.987	 0.013	0	0
test example 647:	 0.979	 0.021	0	0
test example 648:	 0.915	 0.085	0	0
test example 649:	 0.928	 0.072	0	0
test example 650:	 0.896	 0.104	0	0
test example 651:	 0.997	 0.003	0	0
test example 652:	 0.089	 0.911	1	0
test example 653:	 0.556	 0.444	0	0
test example 654:	 0.989	 0.011	0	0
test example 655:	 0.651	 0.349	0	1
test example 656:	 0.984	 0.016	0	0
test example 657:	 0.797	 0.203	0	0
test example 658:	 0.991	 0.009	0	0
test example 659:	 0.953	 0.047	0	0
test example 660:	 0.997	 0.003	0	0
test example 661:	 0.729	 0.271	0	1
test example 662:	 0.875	 0.125	0	0
test example 663:	 0.991	 0.009	0	0
test example 664:	 0.993	 0.007	0	0
test example 665:	 0.989	 0.011	0	0
test example 666:	 0.677	 0.323	0	0
test example 667:	 0.261	 0.739	1	1
test example 668:	 0.856	 0.144	0	0
